data,labels
[0.         0.         0.         ... 0.24933773 0.29783088 0.3312487 ],Bengali
"[ 0.          0.          0.         ... -0.00953211 -0.01102918
 -0.01273065]",Bengali
"[ 0.          0.          0.         ... -0.00369776 -0.00339546
 -0.00395815]",Bengali
[0.         0.         0.         ... 0.03938607 0.05290342 0.07043047],Bengali
"[ 0.          0.          0.         ... -0.01671986 -0.01658483
 -0.01452072]",Bengali
[0.         0.         0.         ... 0.00023018 0.00015756 0.00015425],Bengali
"[ 0.          0.          0.         ... -0.09045217 -0.08938263
 -0.08887922]",Bengali
"[ 0.          0.          0.         ...  0.03868705 -0.03281187
 -0.06585099]",Bengali
"[ 0.          0.          0.         ... -0.01525826 -0.01383546
 -0.0123674 ]",Bengali
"[ 0.          0.          0.         ... -0.00192258 -0.00144038
 -0.00142273]",Bengali
"[ 0.          0.          0.         ... -0.07041276 -0.06963152
 -0.06840496]",Bengali
[0.         0.         0.         ... 0.03059217 0.02858998 0.02593227],Bengali
"[ 0.          0.          0.         ... -0.09147422 -0.09059098
 -0.09288373]",Bengali
[0.         0.         0.         ... 0.00625044 0.00657015 0.00678441],Bengali
[0.         0.         0.         ... 0.10408948 0.0787214  0.05642667],Bengali
"[ 0.          0.          0.         ... -0.05130685 -0.05128961
 -0.04915193]",Bengali
[0.         0.         0.         ... 0.00276094 0.00272756 0.00261412],Bengali
[0.         0.         0.         ... 0.24668148 0.23198481 0.20198865],Bengali
"[ 0.          0.          0.         ... -0.4611632  -0.43599558
 -0.40883023]",Bengali
"[ 0.          0.          0.         ... -0.07146721 -0.07057997
 -0.07021685]",Bengali
"[ 0.          0.          0.         ... -0.01150311 -0.01473454
 -0.01233862]",Bengali
"[ 0.          0.          0.         ... -0.6348753  -0.6625655
 -0.68553877]",Bengali
"[ 0.          0.          0.         ... -0.01885365 -0.02202706
 -0.03051396]",Bengali
[0.         0.         0.         ... 0.00132593 0.00127167 0.00117102],Bengali
"[ 0.          0.          0.         ... -0.00128977 -0.00015073
  0.00122688]",Bengali
[0.         0.         0.         ... 0.0334625  0.0235108  0.01534443],Bengali
"[ 0.          0.          0.         ... -0.4064991  -0.41613644
 -0.4227274 ]",Bengali
[0.         0.         0.         ... 0.00037749 0.00044218 0.00051736],Bengali
[0.         0.         0.         ... 0.02924812 0.0378827  0.04312916],Bengali
[0.         0.         0.         ... 0.0136438  0.01307498 0.0131351 ],Bengali
"[ 0.          0.          0.         ... -0.05235584 -0.03871567
 -0.03498063]",Bengali
"[ 0.          0.          0.         ... -0.00034409 -0.00179011
 -0.00320032]",Bengali
[0.         0.         0.         ... 0.03159104 0.03173316 0.03198577],Bengali
"[ 0.          0.          0.         ... -0.04134258 -0.03058138
 -0.01550348]",Bengali
[0.         0.         0.         ... 0.02562328 0.02771967 0.02869488],Bengali
"[ 0.          0.          0.         ... -0.00494093 -0.00536276
 -0.00584134]",Bengali
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.0867785e-05
 -2.3934332e-05 -4.9719292e-06]",Bengali
[0.         0.         0.         ... 0.01008745 0.02013894 0.05823604],Bengali
"[ 0.          0.          0.         ... -0.02375105 -0.02474217
 -0.02811957]",Gujarati
"[ 0.          0.          0.         ... -0.00373757 -0.0039219
 -0.00339456]",Gujarati
[0.         0.         0.         ... 0.01408646 0.01017761 0.00573257],Gujarati
"[ 0.          0.          0.         ... -0.04415261 -0.03979949
 -0.03538524]",Gujarati
"[ 0.          0.          0.         ... -0.00763087 -0.00779304
 -0.00748093]",Gujarati
[0.         0.         0.         ... 0.13050558 0.11778726 0.11227763],Gujarati
[0.         0.         0.         ... 0.04464121 0.04533407 0.04476579],Gujarati
"[ 0.          0.          0.         ... -0.00990073 -0.01398282
 -0.01804524]",Gujarati
"[ 0.          0.          0.         ... -0.01932384 -0.02779126
 -0.03590664]",Gujarati
[0.         0.         0.         ... 0.04433381 0.04114387 0.03605456],Gujarati
"[ 0.          0.          0.         ... -0.0535414  -0.05866517
 -0.06537187]",Gujarati
"[ 0.          0.          0.         ... -0.04130231 -0.03416983
 -0.02590739]",Gujarati
"[ 0.          0.          0.         ... -0.00165686 -0.00196301
 -0.00213129]",Gujarati
"[ 0.          0.          0.         ...  0.0014142   0.00038133
 -0.00028297]",Gujarati
"[ 0.          0.          0.         ... -0.13146387 -0.08608727
 -0.04667131]",Gujarati
"[ 0.          0.          0.         ... -0.00265432 -0.00264024
 -0.00325212]",Gujarati
[0.         0.         0.         ... 0.15379371 0.18354627 0.20680022],Gujarati
[0.         0.         0.         ... 0.04883538 0.04945748 0.05080842],Gujarati
"[ 0.          0.          0.         ... -0.1272579  -0.16214217
 -0.21214361]",Gujarati
[0.         0.         0.         ... 0.02570026 0.03122966 0.0369064 ],Gujarati
"[ 0.          0.          0.         ... -0.17265175 -0.15065026
 -0.1252459 ]",Gujarati
"[ 0.          0.          0.         ...  0.00064669 -0.00519739
 -0.01062541]",Gujarati
"[ 0.          0.          0.         ... -0.00077567 -0.00211208
 -0.00230445]",Gujarati
[0.         0.         0.         ... 0.01810946 0.01661679 0.01404005],Gujarati
"[ 0.          0.          0.         ... -0.00092732 -0.00081516
 -0.00082741]",Gujarati
[0.         0.         0.         ... 0.00436442 0.00262961 0.0005223 ],Gujarati
"[ 0.          0.          0.         ... -0.00075371 -0.00091931
 -0.00077379]",Gujarati
[0.         0.         0.         ... 0.09955432 0.10039741 0.10383605],Gujarati
"[ 0.          0.          0.         ... -0.17155428 -0.16956285
 -0.16575496]",Gujarati
[0.         0.         0.         ... 0.04946633 0.04179167 0.04025576],Gujarati
"[ 0.          0.          0.         ... -0.05473679 -0.05863664
 -0.06021859]",Gujarati
"[ 0.          0.          0.         ... -0.00030796 -0.00076819
 -0.00091039]",Gujarati
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.0574213e-05
 -2.4204394e-03 -4.1377828e-03]",Gujarati
[0.         0.         0.         ... 0.20756006 0.19311382 0.17652082],Gujarati
"[ 0.          0.          0.         ... -0.01407252 -0.01664378
 -0.02122602]",Gujarati
"[ 0.          0.          0.         ... -0.00593119 -0.00787199
 -0.00963962]",Gujarati
"[ 0.          0.          0.         ... -0.38846517 -0.40092254
 -0.41250053]",Gujarati
[0.         0.         0.         ... 0.05430251 0.06492499 0.07336772],Gujarati
[0.         0.         0.         ... 0.02943476 0.02958017 0.02969548],Gujarati
"[ 0.          0.          0.         ... -0.00399296 -0.00380643
 -0.00338432]",Gujarati
[0.         0.         0.         ... 0.01855276 0.01651134 0.01364108],Gujarati
"[ 0.          0.          0.         ... -0.00096029 -0.00101798
 -0.00147056]",Gujarati
[ 0.         0.         0.        ... -0.6229249 -0.6452232 -0.6662751],Gujarati
[0.         0.         0.         ... 0.07447509 0.08039469 0.08549584],Gujarati
[0.         0.         0.         ... 0.26043907 0.26187482 0.25297317],Gujarati
[0.         0.         0.         ... 0.00059123 0.00057018 0.00089025],Gujarati
[0.         0.         0.         ... 0.19284372 0.19607976 0.20274433],Gujarati
[0.         0.         0.         ... 0.00913126 0.00651186 0.00313062],Gujarati
[0.         0.         0.         ... 0.04234544 0.04404332 0.04440942],Gujarati
[0.         0.         0.         ... 0.7157996  0.62851363 0.51198775],Gujarati
"[ 0.          0.          0.         ... -0.04073989 -0.03930934
 -0.03747081]",Gujarati
"[ 0.          0.          0.         ... -0.06821195 -0.07130158
 -0.07430135]",Gujarati
[0.         0.         0.         ... 0.00287801 0.00649476 0.00757485],Gujarati
[0.         0.         0.         ... 0.06589347 0.06861566 0.07086742],Gujarati
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -7.9290383e-04
 -5.7957703e-05  9.2078990e-05]",Gujarati
"[ 0.          0.          0.         ... -0.00470458 -0.0044969
 -0.00635531]",Gujarati
"[ 0.          0.          0.         ... -0.06733339 -0.11273235
 -0.16023013]",Gujarati
[0.         0.         0.         ... 0.00528326 0.00515816 0.00622328],Gujarati
"[ 0.          0.          0.         ... -0.22980155 -0.22329316
 -0.22037612]",Gujarati
"[ 0.          0.          0.         ... -0.01200012 -0.0099109
 -0.00727167]",Gujarati
[0.         0.         0.         ... 0.16097468 0.16811562 0.17668673],Gujarati
[0.         0.         0.         ... 0.01050772 0.01101507 0.01188053],Gujarati
"[ 0.          0.          0.         ...  0.00283484  0.00179195
 -0.0002798 ]",Gujarati
[ 0.         0.         0.        ... -0.5958793 -0.6392174 -0.6806794],Gujarati
"[ 0.          0.          0.         ... -0.02612341 -0.02758891
 -0.02930441]",Gujarati
"[ 0.          0.          0.         ... -0.00036034  0.00035171
  0.00132285]",Gujarati
[0.         0.         0.         ... 0.16059339 0.16092955 0.16108724],Gujarati
[0.         0.         0.         ... 0.5478438  0.5855199  0.62873757],Gujarati
"[ 0.          0.          0.         ... -0.17145951 -0.15086089
 -0.13050558]",Gujarati
[0.         0.         0.         ... 0.00047775 0.0006461  0.00111142],Gujarati
[0.         0.         0.         ... 0.02851495 0.02672392 0.02609522],Gujarati
"[ 0.          0.          0.         ... -0.00256066 -0.00427398
 -0.00543067]",Gujarati
"[ 0.          0.          0.         ... -0.00274864 -0.00248897
 -0.00312817]",Gujarati
[0.         0.         0.         ... 0.01801916 0.02136594 0.02589457],Gujarati
"[ 0.          0.          0.         ... -0.0225396  -0.02030176
 -0.01749887]",Gujarati
"[ 0.          0.          0.         ...  0.01883566  0.00594901
 -0.01574448]",Gujarati
[0.         0.         0.         ... 0.2375492  0.2388316  0.23584725],Gujarati
[0.         0.         0.         ... 0.27670193 0.24827266 0.21652094],Gujarati
"[ 0.          0.          0.         ... -0.08813063 -0.09148176
 -0.09537697]",Gujarati
[0.         0.         0.         ... 0.30370665 0.30345073 0.29719937],Gujarati
"[ 0.          0.          0.         ... -0.506222   -0.47812796
 -0.42824435]",Gujarati
"[ 0.          0.          0.         ... -0.03720567 -0.02240865
 -0.00794813]",Gujarati
"[ 0.          0.          0.         ... -0.01792159 -0.01832083
 -0.01730005]",Gujarati
"[ 0.          0.          0.         ... -0.07901109 -0.0811277
 -0.08365648]",Gujarati
[0.         0.         0.         ... 0.23561583 0.23002891 0.22535779],Gujarati
"[ 0.          0.          0.         ... -0.02945719 -0.03042525
 -0.02997491]",Gujarati
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.7894748e-04
  1.4523978e-05 -3.4367063e-04]",Gujarati
"[ 0.          0.          0.         ... -0.32291597 -0.32295138
 -0.31831485]",Gujarati
"[ 0.          0.          0.         ... -0.93235993 -0.94290084
 -0.94486284]",Gujarati
"[ 0.          0.          0.         ... -0.00879031 -0.00698853
 -0.00758889]",Gujarati
"[ 0.          0.          0.         ... -0.01070245 -0.01038287
 -0.0089046 ]",Gujarati
"[ 0.          0.          0.         ... -0.40895617 -0.43305472
 -0.4460312 ]",Gujarati
[0.         0.         0.         ... 0.01086364 0.01754972 0.02186779],Gujarati
"[ 0.          0.          0.         ... -0.11716764 -0.12628426
 -0.13482954]",Gujarati
[0.         0.         0.         ... 0.04464147 0.04361446 0.04351257],Gujarati
[0.         0.         0.         ... 0.00118371 0.00095909 0.00067689],Gujarati
"[ 0.          0.          0.         ... -0.00879072 -0.01011331
 -0.01136448]",Gujarati
[0.         0.         0.         ... 0.00127888 0.0012553  0.00123343],Gujarati
"[ 0.          0.          0.         ... -0.00086617 -0.00044184
 -0.00021258]",Gujarati
[0.         0.         0.         ... 0.33223474 0.32270387 0.29991788],Gujarati
[0.         0.         0.         ... 0.00790817 0.00906115 0.00841362],Gujarati
"[ 0.          0.          0.         ... -0.03301353 -0.03723136
 -0.04370729]",Gujarati
[0.         0.         0.         ... 0.00023164 0.00024958 0.00030974],Gujarati
"[ 0.          0.          0.         ... -0.02134248 -0.0301321
 -0.038037  ]",Gujarati
[0.         0.         0.         ... 0.01589098 0.01816972 0.02155825],Gujarati
"[ 0.          0.          0.         ... -0.01819202 -0.0174563
 -0.01573317]",Gujarati
[0.         0.         0.         ... 0.0139379  0.01248265 0.00996615],Gujarati
"[ 0.          0.          0.         ... -0.02276313 -0.01123188
 -0.00092153]",Gujarati
[0.         0.         0.         ... 0.01046411 0.01137518 0.01259627],Gujarati
"[ 0.          0.          0.         ... -0.00150918 -0.00155583
 -0.0014077 ]",Gujarati
[0.         0.         0.         ... 0.46500602 0.48050934 0.4839001 ],Gujarati
"[ 0.          0.          0.         ... -0.06549193 -0.0637171
 -0.06169454]",Gujarati
[0.         0.         0.         ... 0.12459944 0.1418822  0.15085548],Gujarati
"[ 0.          0.          0.         ... -0.00626781 -0.00503818
 -0.00379785]",Gujarati
"[ 0.          0.          0.         ... -0.08904777 -0.09200726
 -0.0982725 ]",Gujarati
[0.         0.         0.         ... 0.00447517 0.00434463 0.00461179],Gujarati
"[ 0.          0.          0.         ... -0.00153438 -0.00155309
 -0.00096467]",Gujarati
[0.         0.         0.         ... 0.00350609 0.00353654 0.00310648],Gujarati
[0.         0.         0.         ... 0.05909273 0.05805823 0.05224559],Gujarati
[0.         0.         0.         ... 0.00371922 0.00273871 0.00166192],Gujarati
[0.         0.         0.         ... 0.05107916 0.04205371 0.04028834],Gujarati
[0.         0.         0.         ... 0.02750898 0.0220885  0.01722887],Gujarati
"[ 0.          0.          0.         ... -0.00837829 -0.00698923
 -0.00567984]",Gujarati
[0.         0.         0.         ... 0.00761864 0.00785342 0.0074019 ],Gujarati
"[ 0.          0.          0.         ... -0.04898421 -0.04847318
 -0.04725207]",Gujarati
"[ 0.          0.          0.         ... -0.02119108 -0.0168229
 -0.01440545]",Gujarati
[0.         0.         0.         ... 0.01865239 0.03791911 0.05771338],Gujarati
"[ 0.          0.          0.         ... -0.03634307 -0.03535467
 -0.03421859]",Gujarati
[0.         0.         0.         ... 0.08811972 0.08565454 0.08281676],Gujarati
[0.         0.         0.         ... 0.0026111  0.00249512 0.00180942],Gujarati
[0.         0.         0.         ... 0.02160476 0.02134992 0.0198091 ],Gujarati
[0.         0.         0.         ... 0.00950305 0.01342307 0.01727499],Gujarati
[0.         0.         0.         ... 0.03881835 0.0418684  0.04302896],Gujarati
"[ 0.          0.          0.         ... -0.00134637 -0.00015618
  0.00208935]",Gujarati
[0.         0.         0.         ... 0.00804504 0.00946016 0.00950681],Gujarati
"[ 0.          0.          0.         ... -0.00984231 -0.01353035
 -0.0175266 ]",Gujarati
[0.         0.         0.         ... 0.00535923 0.00434555 0.00316677],Gujarati
"[ 0.          0.          0.         ... -0.00627489 -0.00656063
 -0.00769879]",Gujarati
"[ 0.          0.          0.         ... -0.01588419 -0.01738829
 -0.02004825]",Gujarati
"[ 0.          0.          0.         ... -0.06294012 -0.05464637
 -0.04290368]",Gujarati
[0.         0.         0.         ... 0.00417485 0.00396598 0.00366057],Gujarati
"[ 0.          0.          0.         ... -0.28645208 -0.26170442
 -0.25054723]",Gujarati
"[ 0.          0.          0.         ... -0.11687063 -0.11743608
 -0.11411685]",Gujarati
"[ 0.          0.          0.         ... -0.00236537 -0.0026168
 -0.00246888]",Gujarati
"[ 0.          0.          0.         ... -0.00263549 -0.00294216
 -0.00303227]",Gujarati
[0.         0.         0.         ... 0.06558748 0.05061846 0.02880431],Gujarati
[0.         0.         0.         ... 0.01705582 0.01995309 0.02316475],Gujarati
"[ 0.          0.          0.         ... -0.01679714 -0.0116314
 -0.00590952]",Gujarati
[0.         0.         0.         ... 0.00475363 0.00492675 0.00495359],Gujarati
[0.         0.         0.         ... 0.31554672 0.29335    0.27647585],Gujarati
[0.         0.         0.         ... 0.00062267 0.0006064  0.00059294],Hindi
"[ 0.          0.          0.         ... -0.00086049 -0.00171506
 -0.0021633 ]",Hindi
"[ 0.          0.          0.         ... -0.06201074 -0.07212289
 -0.06092839]",Hindi
[0.         0.         0.         ... 0.03422018 0.02933483 0.01308763],Hindi
[0.         0.         0.         ... 0.00053984 0.00053513 0.00053629],Hindi
"[ 0.          0.          0.         ... -0.01937975 -0.02388462
 -0.02898947]",Hindi
"[ 0.          0.          0.         ... -0.03358516 -0.03644563
 -0.01976296]",Hindi
"[ 0.          0.          0.         ... -0.01242277 -0.01414879
 -0.01636239]",Hindi
"[ 0.          0.          0.         ... -0.26302725 -0.273419
 -0.26162323]",Hindi
"[ 0.          0.          0.         ... -0.06798792 -0.0681402
 -0.06281905]",Hindi
[0.         0.         0.         ... 0.15443379 0.15529333 0.15435675],Hindi
[0.         0.         0.         ... 0.48767298 0.521599   0.5464742 ],Hindi
"[ 0.          0.          0.         ... -0.00037714 -0.00025362
 -0.00175505]",Hindi
"[ 0.          0.          0.         ... -0.02823881 -0.0245842
 -0.02238283]",Hindi
[0.         0.         0.         ... 0.02175922 0.02228653 0.02203183],Hindi
[0.         0.         0.         ... 0.00094708 0.00105956 0.00120345],Hindi
"[ 0.          0.          0.         ... -0.00410703  0.00072044
  0.00511258]",Hindi
"[ 0.          0.          0.         ... -0.07972883 -0.07137869
 -0.05444068]",Hindi
"[ 0.          0.          0.         ... -0.0632757  -0.05887249
 -0.06053273]",Hindi
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.1394344e-04
 -1.3190293e-04 -6.8359215e-05]",Hindi
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.5699161e-05
  1.7890283e-04 -6.7686837e-04]",Hindi
[0.         0.         0.         ... 0.28019994 0.27608803 0.27154583],Hindi
[0.         0.         0.         ... 0.01107863 0.01145724 0.01193397],Hindi
"[ 0.          0.          0.         ... -0.01809286 -0.01666164
 -0.02600953]",Hindi
"[ 0.          0.          0.         ... -0.00885667 -0.00342035
  0.00177677]",Hindi
"[ 0.          0.          0.         ... -0.00098152 -0.00096857
 -0.00093666]",Hindi
[0.         0.         0.         ... 0.00866384 0.00938862 0.0076947 ],Hindi
[0.         0.         0.         ... 0.00051648 0.00050187 0.00041618],Hindi
[0.         0.         0.         ... 0.03176573 0.03327389 0.03521565],Hindi
[0.         0.         0.         ... 0.07308158 0.07255392 0.07016467],Hindi
"[ 0.          0.          0.         ...  0.04123903 -0.03095006
 -0.11962536]",Hindi
[0.         0.         0.         ... 0.00809127 0.00806334 0.00783184],Hindi
"[ 0.          0.          0.         ... -0.01798156 -0.0153041
 -0.0120859 ]",Hindi
[0.         0.         0.         ... 0.01322236 0.01303325 0.0127292 ],Hindi
[0.         0.         0.         ... 0.11974873 0.12115594 0.11910179],Hindi
[0.         0.         0.         ... 0.29746822 0.291292   0.27753127],Hindi
